gene	score
MRPL19	0.00010934022187600461
TARDBP	0.00010931971695613852
MAT2A	0.00010931874761391657
PIGA	0.00010928067604092036
PSMA6	0.00010918067231412726
ITGAM	0.00010917730024827054
HMGN1	0.00010912881217931743
ACSL1	0.00010912055640742336
ACTA1	0.00010901389127691563
PHKA1	0.00010894033439745144
HMBS	0.00010887877226003063
EIF4A3	0.00010871129941838753
LAMP2	0.00010858240814054276
RAD23B	0.0001083994097198537
CTLA4	0.00010839109875984126
BNIP3L	0.0001083159757952391
TLN1	0.00010829290703726503
UPRT	0.00010825306326451072
MMUT	0.00010821699404665983
EPO	0.00010821290409536524
ALAS2	0.00010820283453413882
MAT1A	0.00010807615687505925
ATP5IF1	0.0001079763447532845
CXCL12	0.00010795202000628633
HDAC3	0.0001079315149488177
WDR90	0.00010775703719889183
EGLN3	0.00010774152048605436
TH	0.000107667531835139
TUBB4A	0.00010751964525609751
ERVW-1	0.00010733181974985699
FASLG	0.00010724598503213785
GABARAPL2	0.00010709698950915901
ACSL3	0.0001070395909352382
VASP	0.00010695402111363014
PGP	0.00010691270256375714
GABARAPL1	0.00010691191246656992
HSPB6	0.00010687237199821517
PSMB2	0.00010686154458504202
DDX39B	0.00010683894502290305
ATP7A	0.00010681172910605277
ERVFRD-1	0.00010680383476644897
CCN2	0.00010658558578771968
PIK3C3	0.00010654971272200912
ACTR3	0.00010654950518048607
ERV3-1	0.00010654786148676845
UCK1	0.00010654669614622312
HUWE1	0.00010653701623517503
TLN2	0.00010651487877445173
SRY	0.00010651253667804731
RABIF	0.00010636481329618047
EIF2AK4	0.00010631333974802089
NAA10	0.00010619215297317349
ERO1A	0.00010616333623720947
IPO8	0.00010610030623231936
XRN1	0.00010608520749222563
TAF1	0.00010607177596771571
ADCY10	0.00010606323644508351
TPM2	0.00010601803736147049
ASPM	0.00010601793261829708
PYCR1	0.00010601315639197016
TPH2	0.00010570066065393346
NGB	0.00010569120819420796
STS	0.00010559199170451694
CHD7	0.00010551751354509587
MAP3K7	0.00010544101559715059
PRKG1	0.00010539529078159828
QPRT	0.00010538730803373963
CD244	0.00010531091786000655
CD99	0.00010530511495625457
CITED2	0.00010524339711647834
ATP6V0A1	0.00010516341017841476
LIMK1	0.00010514920887776474
ZFX	0.0001051358104515192
MCM2	0.00010508704358952895
MTX1	0.00010506247920933392
DCP2	0.00010498651528664446
ARHGAP6	0.00010498013250978086
LAG3	0.00010496194557116384
APBB1IP	0.00010496014798722143
CETN3	0.00010493693980388592
SPATA4	0.00010491337249559096
GRB14	0.00010484917171985455
GRB10	0.00010482560230293372
EDC3	0.00010479359973631981
ICOS	0.00010479224370404713
GRB7	0.00010472999532724533
SAMHD1	0.0001046801663524369
ABCB7	0.00010467131314504153
ASB9	0.00010466439824981629
THBS3	0.00010464467225146804
C1QA	0.00010458298325821443
HIPK2	0.00010453924218629936
ECEL1	0.00010451111680555862
RAPH1	0.00010449894090427885
DHPS	0.00010446400221638184
CDC7	0.00010445197513505508
POU3F4	0.00010435591695462491
MAPK8IP3	0.00010434924680029513
MAP4K1	0.00010417654893128838
ABCC6	0.00010414933404393735
PPP1R10	0.00010405211730131604
LGI2	0.00010391258713373013
SLC12A6	0.0001038878267475856
MMP28	0.00010387512046032457
EPRS1	9.85996954345505e-05
GOT1	9.745646559664938e-05
AMY2B	9.713960126018137e-05
HSPA9	9.712941798813791e-05
AGL	9.687958522520797e-05
PDHX	9.616571912648889e-05
YARS1	9.423833871511179e-05
NDUFAB1	9.41075501793226e-05
PGM5	9.376088334202246e-05
SRC	9.362892943586575e-05
ATP5PO	9.316359278780763e-05
NDUFS8	9.309317004800104e-05
JUN	9.218352044528017e-05
AK1	9.206276992006214e-05
PHB1	9.198756485503811e-05
RPL5	9.176183884122424e-05
PGLS	9.166864531325417e-05
NDUFS3	9.130200578300262e-05
HSPA1B	9.120675569873793e-05
RPL23	9.09356840967062e-05
CCT7	9.085403296667089e-05
RPS16	9.063044687091693e-05
RACK1	9.060793941584021e-05
ADSS2	9.043344352366852e-05
RPL9	9.039120857510219e-05
P4HB	9.016482144821491e-05
MED1	9.005374452502345e-05
CTPS1	8.988983005304674e-05
CAV1	8.988131634013875e-05
RPS23	8.983872000576364e-05
PNP	8.974840813912544e-05
NFKB1	8.974695418731471e-05
RPS14	8.949717032768546e-05
MRTO4	8.932691920493002e-05
APP	8.9313039428763e-05
APOB	8.926429953411224e-05
RPS3A	8.924859579312922e-05
GPX4	8.920451019115733e-05
MINPP1	8.912542248056634e-05
CD4	8.912028599703495e-05
RPL23A	8.911169280178386e-05
NME1	8.910682696648486e-05
PDCD11	8.909620062515028e-05
CLPB	8.904263819946773e-05
HSPA1A	8.902558235448139e-05
NME2	8.89952325048242e-05
EFL1	8.89692665736727e-05
ADD1	8.895607687581781e-05
MAPT	8.892925352061672e-05
RPL10A	8.88606675515925e-05
CD74	8.882077877911961e-05
MRPS10	8.873781036666696e-05
RPL7	8.864757281754647e-05
MRPS5	8.863652354491682e-05
NPM1	8.857199882354822e-05
RPL17	8.855229727233484e-05
ADSS1	8.849458038906535e-05
MRPS12	8.848633107552703e-05
MRPL13	8.844425685538392e-05
MRPL4	8.840288756024414e-05
CCT4	8.838401923121977e-05
TLR4	8.829716797840377e-05
EIF5A	8.820795894548654e-05
MRPL2	8.818698697259801e-05
HSDL2	8.810576746658299e-05
APIP	8.807615955026416e-05
FLT3LG	8.802708355456605e-05
POLR1C	8.800559465644722e-05
CCT8	8.789851599594471e-05
HSPB1	8.785771186957785e-05
HTT	8.782214603508176e-05
FOS	8.776539484609564e-05
HDAC1	8.775801366508847e-05
GLRX	8.771958409674751e-05
MRPS11	8.761946969902272e-05
EIF4A1	8.758595296772929e-05
CMPK1	8.75843519095201e-05
ADD3	8.756125549453511e-05
H4C6	8.755401092137068e-05
MRPS2	8.754516657730511e-05
IMPDH2	8.7463669809798e-05
RPL18	8.746037774955139e-05
PCNA	8.739104089165407e-05
ADD2	8.733102864150342e-05
POLR2F	8.733077584582356e-05
MRPL12	8.732721206164033e-05
RPL27A	8.714520694813158e-05
GFAP	8.710042255721708e-05
MRPL22	8.708569463254078e-05
RPS29	8.70829641534289e-05
MRPS15	8.707306826860453e-05
MRPL1	8.702588856743547e-05
FANCE	8.69399962899302e-05
HNRNPA1	8.691067166845449e-05
RPL17-C18orf32	8.687689137366918e-05
RPL7L1	8.66277342001246e-05
MRPS14	8.660724197430886e-05
MCL1	8.65751426391014e-05
RPS15A	8.657461500431179e-05
PNPT1	8.653623227005876e-05
PPP1R26	8.651285199912221e-05
CTSD	8.643389023756311e-05
CXorf66	8.64325864056514e-05
PSMA3	8.63366298830372e-05
PDIA4	8.632315115554154e-05
MRNIP	8.629716631419622e-05
CA2	8.628318934724939e-05
PMPCB	8.625132516548472e-05
SLC2A5	8.622608126816652e-05
ANXA1	8.614980150045702e-05
SMKR1	8.606709829175993e-05
NPSR1	8.606115247381647e-05
HNRNPK	8.605910287508247e-05
FBXW7	8.603281418623608e-05
DPYSL2	8.601581565651865e-05
ETFB	8.59813573046916e-05
LONP1	8.593399918931322e-05
RUVBL1	8.5932840919594e-05
HMGN2	8.586749603030863e-05
PSMD2	8.57419602456039e-05
TUBB3	8.573777328025086e-05
EIF3I	8.570198407251933e-05
RPS24	8.56466374505294e-05
BAG3	8.559510367425883e-05
TAGLN	8.557829234093785e-05
TEX48	8.551759672874925e-05
ISG15	8.551612878201045e-05
CKB	8.546912709068829e-05
SLC25A3	8.54399677783519e-05
GSTP1	8.542406327449376e-05
EZR	8.541638305320994e-05
ITPA	8.540947764459501e-05
TG	8.537807004803551e-05
APOA1	8.535916225589059e-05
GUK1	8.534700459395435e-05
FYN	8.53410103869049e-05
PDIA6	8.532811104979378e-05
GSN	8.532082711523991e-05
LTF	8.528678476124698e-05
ATP6V1B2	8.514620396883011e-05
FUCA1	8.510395928696393e-05
NIT2	8.50089326983517e-05
OXCT1	8.49941830642311e-05
TLR2	8.499158386205483e-05
POLR2L	8.487335611592603e-05
ACTN1	8.480494640024757e-05
LARP7	8.479047807852202e-05
HSPB2	8.476478163226418e-05
PPP2R1A	8.470875280648482e-05
PROM1	8.468376273631365e-05
RECQL4	8.467249966297184e-05
HSPA6	8.46514219957263e-05
AKR1A1	8.46457375826033e-05
MSN	8.4624092017238e-05
VTN	8.462226289415434e-05
CA1	8.458833241660239e-05
CDH2	8.45562358918452e-05
NME1-NME2	8.449371941906901e-05
CD47	8.444537221190263e-05
XRCC6	8.438710706449025e-05
LRGUK	8.437744238861785e-05
TAGLN2	8.436009479259802e-05
APMAP	8.434726170890063e-05
H2BC1	8.434395980045568e-05
RCVRN	8.432771952779239e-05
ATP6V1A	8.430095557201708e-05
FDPS	8.4198656084507e-05
H2BC3	8.39885077697395e-05
ATP6V1B1	8.394612233484974e-05
HSPA1L	8.393870461632958e-05
UCK2	8.390363962626292e-05
ACOT7	8.386910412720963e-05
HLA-DRB1	8.38604169437559e-05
EPCAM	8.383771198398135e-05
DECR1	8.382935626954699e-05
FKBP1A	8.38196327942261e-05
H2BC5	8.377742256931303e-05
H2BC12	8.373186821426096e-05
H2BC11	8.371466178840784e-05
SCIN	8.370399251254236e-05
H2BC14	8.366359163414702e-05
H2BC17	8.364625695424959e-05
H2BC9	8.364458074428532e-05
P4HA2	8.362210975159532e-05
HSD17B10	8.36207844114493e-05
TPM1	8.358571251294791e-05
AHNAK	8.355688278629405e-05
H2BC12L	8.354929809818842e-05
H2BC4	8.35392722811491e-05
FABP5	8.35068076277653e-05
GLOD4	8.350157199187608e-05
HYOU1	8.348681434472152e-05
PGC	8.340882526290911e-05
UCHL1	8.33949822360215e-05
H2BC13	8.337735796134503e-05
H2BC26	8.333949190857972e-05
PLAT	8.32855474468875e-05
H2BC15	8.322521665607146e-05
S100A10	8.31986334551164e-05
H4C7	8.313121227386964e-05
TPO	8.308746481976806e-05
GRN	8.308089536518188e-05
ATP1A1	8.305969794390924e-05
CHD4	8.30546848721878e-05
TUBB1	8.295710171711836e-05
CLTCL1	8.293750688829728e-05
UCHL3	8.292655014882473e-05
PRTN3	8.291986571860165e-05
CD58	8.291586683816093e-05
GNL2	8.288966969824876e-05
PTPN22	8.288862079191833e-05
WDR1	8.286022765608957e-05
ERP29	8.278729567211673e-05
ATP1A3	8.268754394361032e-05
H2BC18	8.268287155753963e-05
LUM	8.265772692901362e-05
SERPINF1	8.264970960413507e-05
APBB1	8.249293462057888e-05
L1TD1	8.247892156058974e-05
ADI1	8.245413555512685e-05
GNB1	8.238524364326797e-05
SELENBP1	8.23747995324753e-05
RHO	8.233483432881116e-05
CA6	8.231539742635508e-05
FLG	8.227450484187324e-05
PABPC4	8.22425551505507e-05
MAGI3	8.222314995545116e-05
FLG2	8.220895991669178e-05
S100A11	8.215382846971542e-05
KHSRP	8.212257677572016e-05
S100A9	8.208815573349455e-05
CLIC1	8.207042399284361e-05
PDCD6IP	8.203307544339354e-05
GDI2	8.198729782577371e-05
PADI4	8.19178096834931e-05
DSP	8.190296634320754e-05
CSRP1	8.189728012316859e-05
PLGRKT	8.188310994165776e-05
OXCT2	8.187481945838106e-05
TRNT1	8.187398919144145e-05
SRSF6	8.186236113421515e-05
MYCBP	8.180192143164534e-05
CA3	8.179336934339732e-05
RHCE	8.179233069298949e-05
HLA-DRA	8.17833692964376e-05
ATP1A4	8.174017523393046e-05
SHBG	8.170334174674481e-05
H2BK1	8.170185863086424e-05
AGBL2	8.170110102590002e-05
H2BW1	8.169049871752431e-05
H2BW2	8.168576102292937e-05
GSTM3	8.162086369492571e-05
ST13	8.161598342209836e-05
CD276	8.156008340938042e-05
PADI2	8.153491991499202e-05
SAG	8.153065526356987e-05
WBP2	8.151652699232293e-05
SERPINF2	8.148823203450567e-05
CPB1	8.146743656843452e-05
MAN2B2	8.145589963419562e-05
UBA6	8.139017585950037e-05
CPB2	8.131963500756972e-05
TNS1	8.115580675158248e-05
PIP4K2C	8.110318479110348e-05
PMP2	8.110306363286746e-05
PTPRZ1	8.108331697898545e-05
ENOSF1	8.107950410086004e-05
ZFAT	8.095993093124494e-05
CLEC3B	8.093543764495337e-05
IVNS1ABP	8.086028212729491e-05
GPC6	8.081551267935163e-05
TULP1	8.080230095631487e-05
SP8	8.069161835472793e-05
PURB	8.068624480485135e-05
FHL1	8.062864865605364e-05
PTP4A2	8.056785151795352e-05
EDARADD	8.053678426068279e-05
GNE	1.9270987047507025e-05
TNF	1.8216993839868373e-05
RBKS	1.8055578425557793e-05
GPT	1.7660362702730036e-05
AMY1B	1.6803511840546612e-05
GYS2	1.6467207271953924e-05
GALE	1.6411394733912883e-05
IL6	1.6229033290170042e-05
AMY1C	1.5784038448670473e-05
GALK1	1.5092662177796274e-05
GMPS	1.4898077806715071e-05
IL1B	1.4652525449941012e-05
BCKDHB	1.4503843536611597e-05
PRKACA	1.4028593248186145e-05
PGM2L1	1.3855215990174914e-05
CALM3	1.3647288214312374e-05
BCKDHA	1.3641312567665475e-05
OTC	1.3524805764367189e-05
ADSL	1.3380470439922014e-05
ESR1	1.315063833278652e-05
ACADM	1.2679290486467381e-05
GPX8	1.2596449146637772e-05
PPARA	1.2511894452390068e-05
GPX7	1.2500304331931252e-05
AGXT	1.2364633297120823e-05
GPX2	1.225979614332362e-05
ALDH9A1	1.2191598402925509e-05
GPX6	1.1865099092237737e-05
NADK	1.17921626193762e-05
GPX3	1.1589765055398043e-05
OGDHL	1.1547121631343123e-05
GPT2	1.1483181168754788e-05
CLPP	1.1330534564707192e-05
CALML5	1.1237328823025687e-05
ALDH2	1.1188479075085873e-05
GOT1L1	1.11653220326563e-05
GPX5	1.1110970374701186e-05
COX4I1	1.104540748896424e-05
CALML3	1.1002227381920735e-05
MAPK3	1.0972670954197666e-05
UGDH	1.0970747941055627e-05
ACOX1	1.0695986752876264e-05
SUCLG2	1.0654976570430257e-05
GLDC	1.0626513297620752e-05
CANX	1.0622775881887671e-05
TXNRD2	1.0560223113492881e-05
DBT	1.0544046557770535e-05
MTHFD2	1.054065829338667e-05
CALML4	1.0534025702534886e-05
ATIC	1.0531456958650525e-05
PPAT	1.0500231112970314e-05
CALML6	1.044618117177813e-05
EP300	1.023084897246475e-05
LRRK2	1.0030670751541373e-05
UBA52	1.0018546378228819e-05
HMGCR	9.902261605934728e-06
PRKACB	9.880874483875556e-06
IL2	9.83538344641878e-06
PRPS2	9.809449548630503e-06
MTHFD1	9.704679709999894e-06
GCG	9.683302924767271e-06
ALDH1B1	9.68180139158929e-06
IRS1	9.680273987505497e-06
ALDH7A1	9.668591853065119e-06
HADH	9.554324392651388e-06
HADHA	9.521804328002994e-06
FOXO1	9.508615544692099e-06
CD36	9.469475036000792e-06
ENOPH1	9.468478668321009e-06
ALDH3A2	9.458710308805287e-06
CDH1	9.390695739770452e-06
PRKACG	9.385188673867463e-06
RPS11	9.381801490638254e-06
MDM2	9.35634861752491e-06
UQCRFS1	9.334584757151272e-06
IDH3B	9.297133199381188e-06
MRPL3	9.288415496552408e-06
ADIPOQ	9.251841924398157e-06
ERBB2	9.111653781260454e-06
NME8	9.034853289961267e-06
ACACB	8.9870853805721e-06
SIRT3	8.953543550564263e-06
ETFA	8.89513396169507e-06
NFE2L2	8.85885451962755e-06
ALDH4A1	8.83444926524723e-06
IDNK	8.798656759199856e-06
SCARB1	8.78438736101912e-06
OAT	8.750093443954273e-06
POLR2B	8.717184539854065e-06
NDUFV1	8.696345772741315e-06
HNF4A	8.635971071995457e-06
KDM6A	8.628008661012055e-06
SNCA	8.604267979623998e-06
YIPF6	8.557140416253538e-06
PCCB	8.515385059934839e-06
NDUFS2	8.490823080438006e-06
SLC3A2	8.474851397351313e-06
ATP6	8.46392148760171e-06
MRPS7	8.44746480302015e-06
LEP	8.373451258558315e-06
GMPPA	8.288765571107476e-06
CDK4	8.280614493774163e-06
EIF2S1	8.237957673408071e-06
RPL3L	8.1735060756179e-06
KDM6B	8.141920805870404e-06
EHHADH	8.123456175969374e-06
SCARB2	8.115363152566237e-06
AASDH	8.041209892385815e-06
PARP1	8.037530126190258e-06
MLXIPL	8.006172284641187e-06
TRIM28	7.951948962778513e-06
CREB1	7.945895142672101e-06
EIF2B3	7.908802096602547e-06
EGF	7.872311922208032e-06
IFNG	7.862441980915387e-06
CD8A	7.854864608889092e-06
EIF2B5	7.824610287085387e-06
ALDH1A1	7.808055916202248e-06
RPL35	7.798589331363826e-06
